NEUR52_scan2_img25_day11_D.pt,2
NEUR52_scan3_img29_day67_S.pt,2
NEUR52_scan3_img30_day62_D.pt,1
NEUR52_scan1_img40_day17_D.pt,2
NEUR52_scan2_img31_day07_S.pt,0
NEUR52_scan3_img47_day62_D.pt,0
NEUR52_scan2_img49_day14_D.pt,2
NEUR52_scan2_img12_day18_S.pt,2
NEUR52_scan1_img27_day17_D.pt,0
NEUR52_scan2_img28_day07_S.pt,2
NEUR52_scan3_img30_day83_S.pt,2
NEUR52_scan1_img19_day15_S.pt,2
NEUR52_scan3_img42_day76_D.pt,0
NEUR52_scan1_img37_day08_D.pt,2
NEUR52_scan2_img40_day07_S.pt,2
NEUR52_scan2_img53_day07_S.pt,2
NEUR52_scan3_img31_day84_D.pt,0
NEUR52_scan2_img27_day14_D.pt,0
NEUR52_scan1_img06_day10_S.pt,0
NEUR52_scan1_img15_day12_S.pt,2
NEUR52_scan1_img46_day14_S.pt,2
NEUR52_scan3_img14_day62_D.pt,2
NEUR52_scan2_img11_day18_S.pt,2
NEUR52_scan1_img14_day10_S.pt,2
NEUR52_scan2_img29_day06_S.pt,0
NEUR52_scan1_img42_day16_D.pt,2
NEUR52_scan1_img35_day08_D.pt,2
NEUR52_scan1_img39_day08_D.pt,2
NEUR52_scan1_img46_day04_D.pt,2
NEUR52_scan2_img36_day18_S.pt,2
NEUR52_scan3_img11_day58_S.pt,2
NEUR52_scan2_img41_day09_D.pt,0
NEUR52_scan3_img13_day73_D.pt,0
NEUR52_scan2_img52_day14_D.pt,2
NEUR52_scan3_img20_day71_S.pt,0
NEUR52_scan3_img43_day76_D.pt,2
NEUR52_scan1_img28_day14_S.pt,2
NEUR52_scan2_img27_day05_S.pt,0
NEUR52_scan1_img24_day07_D.pt,2
NEUR52_scan1_img19_day08_D.pt,2
NEUR52_scan1_img35_day10_S.pt,2
NEUR52_scan2_img40_day11_D.pt,2
NEUR52_scan1_img09_day08_D.pt,2
