0,1
NEUR51_scan3_img43_day56_S.pt,8
NEUR51_scan2_img17_day13_D.pt,7
NEUR51_scan1_img24_day59_S.pt,8
NEUR51_scan1_img52_day58_D.pt,7
NEUR51_scan3_img45_day63_D.pt,7
NEUR51_scan3_img23_day78_S.pt,8
NEUR51_scan1_img26_day66_D.pt,6
NEUR51_scan2_img25_day17_S.pt,7
NEUR51_scan1_img15_day66_D.pt,3
NEUR51_scan3_img08_day77_S.pt,3
NEUR51_scan3_img34_day64_D.pt,8
NEUR51_scan1_img42_day58_D.pt,7
NEUR51_scan2_img21_day16_S.pt,7
NEUR51_scan2_img32_day15_S.pt,3
NEUR51_scan2_img12_day18_S.pt,3
NEUR51_scan2_img24_day12_D.pt,2
NEUR51_scan3_img44_day64_D.pt,7
NEUR51_scan1_img47_day67_D.pt,7
NEUR51_scan1_img16_day60_S.pt,6
NEUR51_scan3_img08_day63_D.pt,1
NEUR51_scan3_img20_day70_S.pt,1
NEUR51_scan2_img01_day17_S.pt,7
NEUR51_scan2_img14_day17_S.pt,7
NEUR51_scan2_img01_day13_D.pt,3
NEUR51_scan2_img43_day19_S.pt,7
NEUR51_scan1_img36_day57_D.pt,2
NEUR51_scan3_img42_day72_S.pt,8
NEUR51_scan3_img17_day74_D.pt,8
NEUR51_scan1_img27_day57_D.pt,2
NEUR51_scan2_img41_day14_D.pt,2
NEUR51_scan2_img27_day08_D.pt,3
NEUR51_scan1_img37_day64_S.pt,6
NEUR51_scan3_img46_day85_D.pt,7
NEUR51_scan3_img21_day85_D.pt,3
NEUR51_scan2_img46_day07_S.pt,7
NEUR51_scan1_img23_day66_D.pt,3
NEUR51_scan3_img44_day67_S.pt,1
NEUR51_scan1_img48_day62_S.pt,7
NEUR51_scan3_img14_day81_S.pt,2
NEUR51_scan2_img15_day14_D.pt,3
NEUR51_scan3_img32_day58_S.pt,8
NEUR51_scan2_img10_day11_D.pt,7
NEUR51_scan3_img04_day83_D.pt,8
NEUR51_scan2_img09_day12_D.pt,7
NEUR51_scan2_img46_day10_D.pt,7
NEUR51_scan2_img09_day17_S.pt,7
NEUR51_scan3_img51_day56_S.pt,7
NEUR51_scan1_img43_day57_D.pt,7
NEUR51_scan2_img11_day19_S.pt,3
NEUR51_scan1_img07_day67_D.pt,7
NEUR51_scan2_img07_day14_D.pt,1
NEUR51_scan1_img47_day61_S.pt,7
NEUR51_scan2_img11_day11_D.pt,1
NEUR51_scan2_img28_day19_S.pt,1
NEUR51_scan2_img34_day15_S.pt,6
NEUR51_scan2_img03_day07_S.pt,7
NEUR51_scan2_img13_day15_S.pt,7
NEUR51_scan2_img29_day12_D.pt,6
NEUR51_scan2_img47_day18_S.pt,6
NEUR51_scan3_img24_day85_D.pt,7
NEUR51_scan1_img45_day63_S.pt,8
NEUR51_scan2_img19_day07_S.pt,7
NEUR51_scan1_img22_day67_D.pt,3
NEUR51_scan3_img25_day79_S.pt,8
NEUR51_scan3_img13_day78_S.pt,7
NEUR51_scan3_img35_day71_S.pt,2
NEUR51_scan2_img29_day15_S.pt,2
NEUR51_scan3_img46_day79_S.pt,7
NEUR51_scan1_img09_day60_S.pt,2
NEUR51_scan2_img13_day12_D.pt,7
NEUR51_scan1_img36_day59_S.pt,7
NEUR51_scan2_img34_day08_D.pt,2
NEUR51_scan2_img48_day18_S.pt,7
NEUR51_scan1_img41_day57_D.pt,7
NEUR51_scan2_img38_day19_S.pt,2
NEUR51_scan1_img51_day59_S.pt,6
NEUR51_scan2_img47_day12_D.pt,7
NEUR51_scan1_img13_day67_D.pt,2
NEUR51_scan1_img25_day67_D.pt,0
NEUR51_scan1_img22_day59_S.pt,2
NEUR51_scan3_img18_day75_D.pt,8
NEUR51_scan2_img25_day12_D.pt,3
NEUR51_scan1_img34_day57_D.pt,2
NEUR51_scan2_img02_day19_S.pt,7
NEUR51_scan2_img44_day08_D.pt,7
NEUR51_scan3_img49_day84_D.pt,2
NEUR51_scan1_img29_day64_S.pt,7
NEUR51_scan3_img32_day60_D.pt,7
NEUR51_scan3_img04_day80_S.pt,3
NEUR51_scan2_img23_day19_S.pt,7
NEUR51_scan1_img21_day62_S.pt,7
NEUR51_scan3_img48_day79_S.pt,2
NEUR51_scan2_img26_day12_D.pt,6
NEUR51_scan2_img39_day17_S.pt,7
ImgID,Mem_s
NEUR51_scan3_img33_day56_S.pt,2
NEUR51_scan2_img05_day06_S.pt,2
NEUR51_scan3_img21_day82_S.pt,7
NEUR51_scan3_img18_day80_S.pt,2
NEUR51_scan2_img04_day07_S.pt,7
NEUR51_scan1_img26_day61_S.pt,6
NEUR51_scan1_img39_day56_D.pt,6
NEUR51_scan2_img30_day09_D.pt,7
NEUR51_scan3_img11_day63_D.pt,3
NEUR51_scan3_img40_day81_S.pt,8
NEUR51_scan3_img13_day65_D.pt,8
NEUR51_scan1_img13_day64_S.pt,6
