ImgID,A1
NEUR60_scan2_img07_day05_D.pt,2
NEUR60_scan2_img07_day15_S.pt,2
NEUR60_scan2_img08_day06_D.pt,0
NEUR60_scan2_img08_day08_S.pt,2
NEUR60_scan2_img09_day04_D.pt,2
NEUR60_scan2_img09_day11_S.pt,2
NEUR60_scan2_img10_day04_D.pt,2
NEUR60_scan2_img10_day11_S.pt,2
NEUR60_scan2_img11_day13_S.pt,2
NEUR60_scan2_img11_day17_D.pt,0
NEUR60_scan2_img12_day12_S.pt,0
NEUR60_scan2_img13_day15_S.pt,2
NEUR60_scan2_img13_day20_D.pt,2
NEUR60_scan2_img14_day11_S.pt,0
NEUR60_scan2_img14_day18_D.pt,2
NEUR60_scan2_img15_day05_D.pt,2
NEUR60_scan2_img15_day10_S.pt,2
NEUR60_scan2_img16_day08_S.pt,2
NEUR60_scan2_img16_day19_D.pt,1
NEUR60_scan2_img17_day05_D.pt,2
NEUR60_scan2_img17_day14_S.pt,2
NEUR60_scan2_img18_day06_D.pt,2
NEUR60_scan2_img18_day10_S.pt,2
NEUR60_scan2_img19_day05_D.pt,2
NEUR60_scan2_img19_day11_S.pt,2
NEUR60_scan2_img20_day06_D.pt,2
NEUR60_scan2_img20_day12_S.pt,2
NEUR60_scan2_img21_day07_D.pt,2
NEUR60_scan2_img21_day10_S.pt,0
NEUR60_scan2_img22_day07_D.pt,1
NEUR60_scan2_img22_day13_S.pt,2
NEUR60_scan2_img23_day12_S.pt,2
NEUR60_scan2_img23_day16_D.pt,2
NEUR60_scan2_img24_day09_S.pt,0
NEUR60_scan2_img24_day16_D.pt,0
NEUR60_scan2_img25_day14_S.pt,0
NEUR60_scan2_img25_day16_D.pt,1
NEUR60_scan2_img26_day08_S.pt,0
NEUR60_scan2_img26_day16_D.pt,2
NEUR60_scan2_img27_day10_S.pt,2
NEUR60_scan2_img27_day21_D.pt,0
NEUR60_scan2_img28_day10_S.pt,2
NEUR60_scan2_img28_day20_D.pt,2
NEUR60_scan2_img29_day12_S.pt,2
NEUR60_scan2_img29_day18_D.pt,0
NEUR60_scan2_img30_day07_D.pt,2
NEUR60_scan2_img30_day08_S.pt,2
