Box no: x_left x_right y_top y_bottom
Box 1: (116 147 984 1017) 
Box 2: (791 837 1051 1107) 
Box 3: (247 279 1009 1048) 
Box 4: (273 314 1103 1161) 
Box 5: (2 28 928 958) 
Box 6: (490 542 1108 1183) 
Box 7: (722 752 995 1037) 
Box 8: (398 424 962 995) 
Box 9: (39 83 1074 1128) 
Box 10: (324 350 962 994) 
Box 11: (383 415 1009 1053) 
Box 12: (216 243 947 980) 
Box 13: (520 548 959 997) 
Box 14: (664 727 1155 1198) 
Box 15: (642 670 974 1012) 
Box 16: (470 508 1010 1057) 
Box 17: (572 612 1042 1091) 
Box 18: (60 84 946 973) 
