NEUR48_scan1_img07_day09_S.pt,8
NEUR48_scan2_img45_day17_S.pt,5
NEUR48_scan3_img40_day52_D.pt,4
NEUR48_scan2_img35_day06_S.pt,1
NEUR48_scan1_img10_day04_D.pt,4
NEUR48_scan3_img46_day49_S.pt,1
NEUR48_scan3_img31_day50_D.pt,4
NEUR48_scan2_img23_day09_D.pt,5
NEUR48_scan3_img24_day65_D.pt,5
NEUR48_scan1_img41_day05_D.pt,4
NEUR48_scan1_img20_day11_S.pt,8
NEUR48_scan1_img40_day05_D.pt,8
NEUR48_scan3_img19_day58_S.pt,4
NEUR48_scan1_img44_day05_D.pt,1
NEUR48_scan1_img35_day05_D.pt,8
NEUR48_scan3_img14_day58_S.pt,8
NEUR48_scan3_img34_day52_D.pt,5
NEUR48_scan2_img42_day15_S.pt,5
NEUR48_scan3_img37_day65_D.pt,4
NEUR48_scan2_img23_day17_S.pt,9
NEUR48_scan2_img39_day18_S.pt,8
NEUR48_scan1_img36_day13_S.pt,4
NEUR48_scan2_img31_day14_D.pt,8
NEUR48_scan2_img07_day08_D.pt,8
NEUR48_scan2_img51_day06_S.pt,5
NEUR48_scan3_img06_day71_S.pt,5
NEUR48_scan3_img46_day51_D.pt,5
NEUR48_scan2_img10_day10_D.pt,5
NEUR48_scan3_img06_day51_D.pt,4
NEUR48_scan2_img14_day05_S.pt,8
NEUR48_scan1_img31_day11_S.pt,5
NEUR48_scan3_img22_day71_S.pt,1
NEUR48_scan1_img26_day09_S.pt,1
NEUR48_scan3_img10_day49_S.pt,1
NEUR48_scan1_img39_day13_S.pt,4
NEUR48_scan1_img52_day09_S.pt,4
NEUR48_scan1_img54_day15_D.pt,4
NEUR48_scan2_img14_day12_D.pt,8
NEUR48_scan2_img34_day08_D.pt,5
NEUR48_scan2_img08_day16_S.pt,8
NEUR48_scan1_img49_day13_S.pt,5
